aID_SP,Gattung,Art,RL,UZL,records
4749,Adscita,statices-Komplex,NT,1,59
4750,Aglais,urticae,LC,0,346
4752,Anthocharis,cardamines,LC,0,252
4755,Apatura,iris,NT,0,37
4756,Aphantopus,hyperantus,LC,0,209
4757,Aporia,crataegi,NT,1,122
4758,Araschnia,levana,LC,0,102
4760,Argynnis,adippe,LC,1,99
4761,Argynnis,aglaja,LC,1,147
4762,Argynnis,niobe,LC,1,91
4764,Argynnis,paphia,LC,0,193
4765,Aricia,agestis-Komplex,LC,1,116
4768,Aricia,eumedon,LC,1,68
4771,Boloria,dia,NT,1,36
4772,Boloria,euphrosyne,LC,0,159
4774,Boloria,napaea-Komplex,LC,0,97
4776,Boloria,selene,NT,1,55
4777,Boloria,thore,LC,0,27
4778,Boloria,titania,LC,0,114
4780,Brenthis,ino,NT,1,57
4783,Callophrys,rubi,LC,1,122
4784,Carcharodus,alceae,NT,1,26
4788,Carterocephalus,palaemon,LC,0,77
4789,Celastrina,argiolus,LC,0,94
4794,Coenonympha,gardetta-Komplex,LC,0,97
4799,Coenonympha,pamphilus,LC,0,209
4801,Colias,croceus,LC,0,179
4802,Colias,hyale-Komplex,LC,1,196
4805,Colias,palaeno,NT,0,53
4806,Colias,phicomone,LC,1,81
4808,Cupido,argiades,NT,0,20
4809,Cupido,minimus,LC,1,151
4811,Erebia,aethiops,LC,1,121
4812,Erebia,alberganus,LC,1,31
4815,Erebia,epiphron,LC,0,68
4817,Erebia,euryale,LC,0,107
4819,Erebia,gorge,LC,0,63
4820,Erebia,ligea,LC,0,129
4821,Erebia,manto,LC,0,60
4822,Erebia,medusa,NT,1,38
4823,Erebia,melampus,LC,0,101
4824,Erebia,meolans,LC,1,45
4825,Erebia,mnestra,LC,0,32
4826,Erebia,montana,LC,0,61
4828,Erebia,oeme,LC,1,57
4829,Erebia,pandrose,LC,1,73
4830,Erebia,pharte,LC,0,58
4831,Erebia,pluto,LC,0,31
4832,Erebia,pronoe,LC,1,37
4836,Erebia,tyndarus,LC,0,93
4837,Erynnis,tages,LC,0,127
4839,Euphydryas,aurinia,LC,0,76
4840,Euphydryas,cynthia,NT,1,31
4844,Gonepteryx,rhamni,LC,0,142
4845,Hamearis,lucina,NT,1,42
4846,Hesperia,comma,LC,1,129
4855,Inachis,io,LC,0,151
4857,Iphiclides,podalirius,NT,1,21
4858,Issoria,lathonia,LC,1,93
4865,Lasiommata,maera,LC,1,159
4866,Lasiommata,megera,LC,1,129
4867,Lasiommata,petropolitana,LC,1,87
4869,Leptidea,sinapis-Komplex,LC,0,169
4873,Limenitis,camilla,LC,0,76
4880,Lycaena,hippothoe,LC,1,75
4881,Lycaena,phlaeas,LC,1,56
4882,Lycaena,tityrus,LC,1,118
4883,Lycaena,virgaureae,NT,1,64
4886,Maculinea,arion,NT,1,86
4890,Maniola,jurtina,LC,0,234
4891,Melanargia,galathea,LC,1,213
4893,Melitaea,athalia,LC,1,128
4898,Melitaea,diamina,NT,1,109
4901,Melitaea,phoebe,NT,1,27
4906,Nymphalis,antiopa,VU,0,26
4907,Nymphalis,polychloros,LC,0,20
4908,Ochlodes,venata,LC,0,201
4909,Oeneis,glacialis,LC,0,34
4910,Papilio,machaon,LC,0,209
4911,Pararge,aegeria,LC,0,241
4912,Parnassius,apollo,NT,1,67
4914,Parnassius,phoebus,LC,1,32
4915,Pieris,brassicae,LC,0,236
4918,Pieris,napi-Komplex,LC,0,343
4920,Pieris,rapae-Komplex,LC,0,340
4922,Plebeius,argus,NT,1,20
4924,Plebeius,glandon,LC,1,35
4925,Plebeius,idas,NT,1,34
4926,Plebeius,optilete,LC,0,28
4927,Plebeius,orbitulus,LC,1,39
4929,Polygonia,c-album,LC,0,187
4932,Polyommatus,bellargus,LC,1,56
4933,Polyommatus,coridon,LC,1,108
4934,Polyommatus,damon,VU,1,29
4936,Polyommatus,dorylas,NT,1,21
4937,Polyommatus,eros,LC,1,32
4939,Polyommatus,icarus,LC,0,263
4940,Polyommatus,semiargus,LC,1,233
4941,Polyommatus,thersites,VU,1,20
4942,Pontia,callidice,NT,0,49
4947,Pyrgus,alveus-Komplex,LC,0,136
4955,Pyrgus,malvae-Komplex,LC,1,111
4970,Spialia,sertorius,NT,1,42
4973,Thymelicus,lineola,LC,1,118
4974,Thymelicus,sylvestris,LC,1,147
4975,Vanessa,atalanta,LC,0,311
4976,Vanessa,cardui,LC,0,256
4981,Zygaena,exulans,LC,1,65
4983,Zygaena,filipendulae,LC,0,120
4985,Zygaena,lonicerae,LC,0,62
4986,Zygaena,loti,LC,1,44
4989,Zygaena,purpuralis,NT,0,48
4991,Zygaena,transalpina,LC,0,85
