siteID,amt,mtcq,ap,pwq,ts,ps,ele,ele_SD,incli,cd,fe,nlut,agri,ah,N,mt,ndep,T,H,L,PSR,BSR
1,2.15,0.55,0.14,-0.72,0.5779999999999994,1.4,-2.845,-1.7296543301993075,-1.2903846153846152,1.5,-1.670564568975603,0,1.25,1.4230769230769227,3.551724137931034,1.5294117647058814,1.8277999999999999,0.4676258992805771,0.4240282685512353,-2.808219178082192,2.2626765016320682,-1.5358983848622456
2,2.4,0.7,-0.195,-1.36,0.8100000000000005,1,-3.405,-1.976840029130632,-1.9353535353535354,-1.5,-5,-0.6666666666666666,1.8686868686868678,-0.5252525252525245,4.4221105527638205,2.9999999999999982,0.6960000000000001,2.4607329842931946,-2.190721649484537,0.8910891089108919,-0.5777948981440435,-1.6833752096446002
3,2.275,0.625,0.34,-0.34,0.7400000000000002,1.7,-3.085,-1.9226681831646735,-1.7689655172413794,-1,0.6669253026238703,0.3333333333333333,0.08620689655172384,1.1379310344827587,3.694779116465865,1.6257668711656459,0.9486999999999999,0.8474576271186463,0.6995884773662553,-0.8730158730158744,1.278820596099706,-0.41742430504416017
4,-2.95,-3.75,4.42,0.74,-1.0039999999999996,-2.4,8.08,-0.6351658716093732,1.6792079207920794,0.5,-5,-2.3333333333333335,-5,-0.9702970297029708,-8.75,-2.777777777777777,-0.4191,-20.172413793103445,0.4597701149425282,7.967032967032965,-5.304640285167341,-1
5,-4.025,-4.65,5.9225,2.16,-1.5359999999999996,-2.2,8.755,0.3288496487534047,4.91304347826087,0.5,-5,-3,-5,2,-11,-3.4615384615384626,-0.5633,-21.35135135135135,-0.12820512820512775,10.609756097560972,-8.596875762567151,-1.3944487245360109
6,-2.1,-3.05,4.195,1.78,-0.8019999999999996,-2.4,5.4625,1.8853088307655428,5.721428571428571,0,-4.853040009241354,-2,-2.5892857142857144,2,-5.642201834862384,-2.1590909090909083,0.034600000000000006,-13.956310679611649,0.8372093023255811,3.1081081081081097,0.09966887054149964,1.164414002968976
7,-3.55,-4.1,4.425,2.88,-1.8719999999999999,-1,8.28,0.05165231250187787,3.996551724137931,2,-5,-2.3333333333333335,-4.913793103448276,2,-8.3,-1.5753424657534243,-0.4936,-18.473684210526315,-0.05050505050505194,5.865384615384617,-4.655919567211399,-0.7573593128807152
8,-0.95,-2.05,-0.435,-1.42,-0.36599999999999966,3.2,5.465,1.159823235214168,5.373831775700934,0,9.711801578603621,-1,-5,2,-3.7430167597765385,-0.9663865546218497,-0.13390000000000005,-13.34319526627219,0.36516853932584414,1.0655737704918034,-1.0716117228158808,0.5677643628300215
9,-3.425,-4,2.1,0.82,-1.7240000000000002,0.1,8.24,0.15514223521545858,4.1313131313131315,1,-5,-2.3333333333333335,-4.898989898989899,2,-11.612903225806452,-5.625,-0.6585,-20.344827586206893,-0.16129032258064502,11.25,-9.34314575050762,-2.550510257216822
10,1.85,0.35,-0.2275,-1.66,0.43900000000000006,0.4,-2.135,-0.6403608755295914,0.72,0.5,-1.3866834587581593,1.3333333333333333,0.18181818181818202,0.2727272727272734,3.053691275167787,2.1764705882352953,1.6111,0.9893992932862172,-1.9482758620689644,-1.0666666666666647,2.435595774162696,-0.5278640450004204
11,1.1666666666666665,-0.4333333333333333,1.13,-2.0266666666666664,0.5953333333333344,-2,-0.415,-1.569177012057944,-0.8965517241379309,-0.5,-1.794885659014195,-0.3333333333333333,3.045977011494253,0.8505747126436788,2.65625,2.0000000000000018,1.0894,0.06302521008403339,-1.9153225806451601,-0.9375,1.5831239517770008,0
12,1.8,0.15,0.095,-2.42,0.7260000000000009,-1.8,-2.025,-1.8374924181192946,-1.5045045045045045,1.5,-2.742442645355267,0.3333333333333333,2.117117117117117,0.018018018018018722,3.1687242798353887,1.9938650306748462,0.6117000000000001,1.5652173913043477,-1.8510638297872362,0.02057613168724437,1.4316767251549827,-0.641101056459326
13,-0.05,-1.4,2.39,-0.76,0.016000000000000014,-1.6,1.125,-0.12130089063204309,1.9096153846153847,-0.5,1.560238975874053,-1.3333333333333333,-3.4615384615384612,2,0.4347826086956541,0.4494382022471921,0.8010000000000002,-2.2586872586872575,-1.185185185185187,-3.9928057553956853,1.852299546352718,0.09901951359278449
14,1.55,-0.1,-0.04,-2.42,0.7460000000000004,-1.6,-1.82,-1.3185873746230072,-0.6589285714285713,0,-3.2844587982062983,0.3333333333333333,3.5714285714285707,1.5535714285714293,3.77431906614786,2.2560975609756095,0.9481000000000002,0.9631147540983598,-0.344129554655872,-1.5116279069767424,1.5529453572468483,0.29150262212918143
15,1.7,0.075,-0.205,-2.24,0.6699999999999999,-0.8,-2.265,-1.7445908354558446,-1.2806722689075631,-0.5,0.8614016528886186,-0.6666666666666666,1.218487394957983,1.9159663865546221,2.723880597014925,1.114649681528661,1.2574999999999998,0.6521739130434767,-1.7692307692307674,-1.765799256505578,1.8226038412607224,0.38516480713450374
16,1.725,0.1125,-0.10125,-2.055,0.6020000000000003,-0.45,-2.305,-0.7867858050839392,0.7494949494949494,-1,-0.8446474668990813,2,-4.090909090909091,-2.444444444444444,0.6810035842293916,0.39877300613496924,0.6099,1.8965517241379315,-4.317343173431736,-0.42857142857142705,2.175564037317667,-0.7573593128807152
17,2.45,0.6,-1.1575,-3.6,1.2360000000000007,-1,-3.05,-1.8245823675006279,-1.5508474576271187,-0.5,-1.0413330050516152,0.6666666666666666,0.5932203389830505,-0.2881355932203391,3.06451612903226,1.3095238095238093,0.5283,2.0886075949367067,-3.075313807531379,1.1752988047808755,1.1554944214035103,0.19615242270663202
18,0.975,-0.625,0.315,-2.11,0.5739999999999998,-1.7,-0.285,-0.5772778615826081,1.1981481481481482,-0.5,9.45010763736695,0,-0.6481481481481481,1.7222222222222214,0.7792207792207773,1.0000000000000009,0.5955,-1.8055555555555536,-0.927152317880795,-3.090614886731391,2.916472867168917,1.5574385243020004
19,1.35,-0.225,-0.095,-2.14,0.6050000000000004,-0.9,-1.28,-0.8500032834532368,0.3215686274509803,0.5,2.4285881209627522,0,0,1.117647058823529,1.8473895582329325,2.225806451612904,1.8559,-0.7296137339055786,-1.4730290456431527,-2.240000000000002,1.3707055437449007,-0.30958424017657027
20,0.6,-1,0.66,-2,0.6440000000000001,-2.4,0.95,0.3217804323082211,2.374509803921568,1.5,6.384972341926572,1,-2.7450980392156863,1.607843137254902,-1.0927152317880795,-0.6097560975609762,0.10830000000000002,-2.9181494661921725,-2.406779661016949,-1.7656765676567643,2.7482393492988493,3.062257748298549
21,1.85,0.25,-0.43,-2.22,0.6519999999999992,-0.2,-2.49,-1.8201042222772006,-1.1466666666666667,2,-1.2694202010862667,1.3333333333333333,1.5714285714285707,0.7619047619047621,3.533834586466167,2.0186335403726696,1.3742,0.8333333333333348,-1.182170542635661,-1.7041198501872667,1.7928556237466644,-0.641101056459326
22,0.475,-1.075,0.8,-1.73,0.46199999999999974,-2.2,0.4,0.350942029253045,3.3733333333333335,0.5,6.040405614925914,0.3333333333333333,-4.428571428571429,1.8095238095238089,-1.8339100346020754,-0.9116022099447507,0.28759999999999997,-1.1992619926199266,-3.4982332155477014,-1.5172413793103434,2.349351572897472,2.1414284285428504
23,0.325,-1.15,1.06,-1.33,0.3279999999999994,-2,0.84,0.1263436437415632,2.1292929292929292,0,1.2316960066416458,0,0.9595959595959591,1.6969696969696968,0.9157509157509169,0.9595959595959602,0.7670999999999999,-4.04669260700389,0.8614232209737827,-2.8545454545454563,1.970562748477139,1.164414002968976
24,-1.6,-2.675,3.7475,1.07,-0.5470000000000006,-2.2,4.77,0.037433905731087694,4.505050505050505,1.5,-5,-2.3333333333333335,0.35353535353535365,2,-3.6051502145922765,0.07772020725388629,0.14459999999999998,-11.202830188679247,-0.5263157894736858,1.7796610169491522,0.556349186104045,2.280109889280518
25,-1.45,-2.55,3.0425,0.41,-0.3819999999999997,-2.6,4.85,1.3775662475445432,4.898039215686275,-1,3.8509361549728403,-0.6666666666666666,-3.8235294117647056,1.9019607843137265,-4.448529411764706,-1.0499999999999998,-0.30090000000000006,-11.450980392156861,-0.4323308270676707,1.3043478260869579,2.0293863659264026,2.937253933193772
26,0.95,-0.5,0.5325,-1.26,0.3119999999999994,-0.9,-0.8225,-0.9751277302474438,0.3418181818181818,0.5,3.0569020252194967,-0.6666666666666666,1.9090909090909094,1.727272727272728,2.7403846153846168,3.7786259541984712,1.7346,-1.2886597938144329,0.32500000000000195,-3.5167464114832514,-0.16760302580867403,-0.7573593128807152
27,1.85,0.3,-0.27,-1.8,0.5540000000000003,0.2,-2.38,-1.8270500637734395,-1.449586776859504,1,-3.744787986373448,1,1.5289256198347119,0.26446280991735593,4.2211055276381915,3.2399999999999984,0.9855,1.3612565445026181,-1.051282051282052,-0.024875621890547706,-0.4397802214389639,-1.2583426132260587
28,1.075,-0.375,0.4975,-1.03,0.3290000000000006,-0.5,-1.015,-1.164909828283105,0.015533980582524264,-1,-1.7430933626858331,-0.3333333333333333,3.640776699029125,1.3203883495145632,2.551020408163267,3.8976377952755925,1.6036000000000001,-0.37837837837837895,-0.8115183246073299,-2.208121827411169,-0.40548048067357634,-0.5278640450004204
29,2.05,0.5,-0.45,-1.86,0.4819999999999993,0.8,-2.96,-1.2838722836002534,0.3722222222222221,2,-0.14193703308158093,-0.6666666666666666,-2.5925925925925926,1.8148148148148153,4.4802867383512535,1.7721518987341778,1.2769,0.8823529411764719,0.3676470588235281,-2.4733096085409256,1.8819430161341337,-0.8768943743823394
30,-0.625,-1.825,2.205,0.22,-0.17300000000000004,-1.9,2.75,1.294582255900793,4.081666666666667,-0.5,-1.2055178667245445,-1,-4.333333333333334,1.9166666666666672,-1.2371134020618557,-0.6682027649769573,0.021000000000000085,-5.499999999999998,-0.5789473684210522,-1.6552901023890776,2.4928556845359005,2.810249675906654
31,1.225,-0.225,0.5775,-0.71,0.30400000000000027,0,-1.37,-1.0938986569915048,0.5102803738317757,1.5,0.11312964111344172,0,0.9813084112149525,1.6261682242990658,3.1380753138075335,2.579617834394905,1.7640999999999998,-0.26431718061674214,0.21739130434782705,-2.5,0.9373774505092278,-0.641101056459326
32,1.925,0.4,-0.01,-1.13,0.5050000000000008,1,-2.565,-1.6590961722712152,-1.062135922330097,2,-3.019860886760828,-2,-3.932038834951457,1.8058252427184471,3.500000000000001,0.18796992481203034,2.0728999999999997,-1.34020618556701,3.392857142857144,-5.4,-0.4397802214389639,-1.5358983848622456
33,-0.6,-1.75,2.63,1.06,-0.34999999999999964,-1.4,2.145,1.7879766671827957,5.283478260869565,2,7.59823210610766,-1,-1.9565217391304344,2,-1.7921146953405032,-1.1224489795918347,0.44700000000000006,-5.826923076923078,-0.9890109890109899,-2.6512455516014244,2.175564037317667,2.416198487095663
34,1.725,0.25,0.2375,-0.92,0.3680000000000003,0.6,-2.125,-1.7046895516046014,-1.218487394957983,-0.5,-0.7035382049755863,0.6666666666666666,1.4705882352941173,-0.4369747899159663,3.2530120481927716,2.046979865771812,1.1635000000000002,0.588235294117645,-0.5144032921810693,-1.9200000000000017,1.0312195418813985,-1
35,-3.1,-3.8375,4.555,1.82,-1.2784999999999993,-2.45,7.5975,0.9654421940364659,3.632727272727273,1.5,-5,-2.3333333333333335,-1.8181818181818183,2,-8.69918699186992,-2.037037037037037,-0.5144,-19.872881355932204,-0.28455284552845406,7.913385826771657,-3.4241630972097745,-1
36,1.225,-0.2,0.8725,-0.09,0.2889999999999997,0.5,-1.09,-1.5207661469752072,-0.675,0.5,-2.33150776173106,-0.3333333333333333,3.365384615384616,1.615384615384616,3.798882681564244,4.609375,1.9678,-1.2941176470588234,1.133720930232558,-1.6298342541436472,-1.107556010550196,-1.5358983848622456
37,-2.325,-3.25,4.06,2.28,-0.9179999999999993,-2,6.2,-0.9388323896538745,0.1654545454545456,0.5,-5,-2.3333333333333335,-5,-4.181818181818182,-7.894736842105261,-2.250000000000001,-0.43600000000000005,-16.691176470588236,-1.0273972602739745,7.20779220779221,-5.889566420855701,-1.127016653792583
38,1.525,0.05,0.76,0.02,0.3219999999999992,1.1,-1.785,-1.3782693275008757,-0.16538461538461532,1,-0.25866113881702224,-0.3333333333333333,-1.442307692307692,1.8076923076923066,4.109589041095889,2.464788732394365,3.322,-0.837320574162681,1.3785046728971961,-3.909090909090911,0.29705854077835525,-1.3944487245360109
39,2.175,0.6,0.4275,-0.21,0.7040000000000006,1.8,-2.655,-1.8082473355263031,-1.6815533980582527,-1.5,-5,-0.6666666666666666,-2.8640776699029127,-5.475728155339806,2.875816993464051,2.8846153846153832,1.1172999999999997,0.34013605442176686,0,-1.9032258064516139,-2.115901273274874,-1
40,2.2,0.6,0.52,0.17,0.6099999999999994,2.4,-2.855,-1.893250282207045,-1.7672413793103448,-1,-2.3141205618498817,2,0.08620689655172384,-0.7586206896551729,4.107883817427385,2.2661870503597115,2.0204999999999997,0.2826086956521756,0.711206896551726,-2.530864197530862,1.1245154965970983,-1.6833752096446002
41,-1.8,-2.75,3.59,2.4,-0.8140000000000001,-1.2,5.41,1.6456838236630495,4.912727272727272,-0.5,-3.117826614151124,-1.3333333333333333,-0.18181818181818202,2,-5.4726368159203975,-1.8789808917197437,-0.14619999999999997,-12.880434782608695,-0.6632653061224492,1.8965517241379315,-0.26908013734376546,2.0710678118654755
42,-0.6,-1.7,2.84,2,-0.5120000000000005,-0.4,2.6625,1.330017239083561,5.167241379310345,-0.5,7.055715348429656,-1.3333333333333333,-1.7241379310344827,2,-2.7444794952681395,-0.7203389830508478,0.45,-9.141414141414138,0.06472491909385258,-0.5312500000000009,3.3030052177231255,2.1414284285428504
43,1.95,0.31666666666666665,0.37333333333333374,-0.6666666666666663,0.7439999999999998,0.8,-2.62,-1.4939117637476975,-0.8592592592592594,0.5,-4.688772601992456,0.3333333333333333,1.2962962962962963,-1.4259259259259252,4.6700507614213205,3.4090909090909083,1.0196,1.394736842105262,-1.3730569948186533,0.1256281407035198,-0.5777948981440435,-1
44,1.275,-0.3,0.5525,-0.86,0.42900000000000027,-0.3,-1.385,-0.9412739540673734,0.9058823529411765,1,-4.5185748053604655,-2.3333333333333335,-4.831932773109243,2,1.76190476190476,0.25423728813559254,0.8553000000000001,-0.4228855721393021,-0.7073170731707323,-5.473933649289098,-0.16760302580867403,-1.127016653792583
45,1.2,-0.25,1.48,1.06,0.23600000000000065,1.2,-0.84,-5.916393425593469e-5,2.9252525252525254,0.5,6.958305346483783,0,-1.161616161616162,1.797979797979798,0.06756756756756577,1.428571428571428,1.4842,-2.56317689530686,-0.03472222222222321,-3.3164983164983175,2.7200451466693494,1.4031242374328485
46,1.2,-0.2,1.5,0.54,0.27800000000000047,1.2,0.275,0.19456896456068107,3.4054054054054057,1.5,4.395520928007802,-1.3333333333333333,-5,2,-0.5925925925925934,-0.2298850574712663,0.8161000000000002,-3.9607843137254894,-1.11320754716981,-1.9485294117647056,1.7928556237466644,1.855654600401044
47,1.65,0.1,0.99,0.46,0.4580000000000002,1.4,-1.64,-1.4869487093198486,-0.5901960784313726,1.5,0.9403825207698574,-0.3333333333333333,0.09803921568627416,1.509803921568627,2.7385892116182564,2.1604938271604945,2.2985999999999995,-1.978260869565216,2.6068376068376065,-4.421487603305785,1.0934769394310813,-0.30958424017657027
48,-2.3,-3.175,3.8175,2.79,-1.0099999999999998,-1,6.96,0.47653234928684496,5.801818181818182,1.5,-5,-2.3333333333333335,-2.090909090909091,2,-8.415300546448087,-2.7037037037037015,-0.09860000000000006,-18.609467455621303,-1.4945652173913038,6.764705882352944,-1.2522729151324796,0.5677643628300215
49,-3.95,-4.5,5.735,3.58,-1.8960000000000008,-1.8,7.52,1.0075754950003704,5.43801652892562,2,-5,-2,-4.5041322314049586,1.5041322314049594,-7.6056338028169,-0.7692307692307709,-0.38659999999999994,-18.18840579710145,0.625,5.810810810810807,-5.944614861862583,-1
50,1.8,0.2,0.555,-0.32,0.6820000000000004,1,-2.39,-1.5065363502481934,-0.5085714285714286,1.5,3.440114198235364,0.6666666666666666,-0.4285714285714285,0.857142857142857,4.186991869918697,2.1698113207547154,1.1074000000000002,0.37974683544304,0.6639004149377614,-2.7732793522267185,1.1245154965970983,-0.8768943743823394
51,0.05,-1.2,2.28,1.82,-0.24799999999999933,0.6,2.025,0.43867627720193525,3.7381818181818183,1,4.2994132803712475,-0.3333333333333333,-0.7272727272727273,1.8181818181818188,-1.6999999999999993,-0.4504504504504503,0.7382000000000002,-8.120567375886525,0.9523809523809534,-1.556291390728477,2.6918060129541317,2.416198487095663
52,1.925,0.25,0.0925,-1.07,0.8520000000000003,0.8,-2.6975,-1.0472853034988423,-0.08000000000000007,-1,-2.810491860840205,0.3333333333333333,-0.5,1.5,2.7372262773722644,1.7428571428571438,1.0536999999999999,0.5836575875486361,-1.2969924812030076,-2.163636363636363,1.970562748477139,0.09901951359278449
53,1.75,0.3,1.535,0.58,0.40000000000000036,1.6,-1.6,2.311642816036835,5.320388349514563,-0.5,5.6691360830140916,0.3333333333333333,-4.70873786407767,2,-0.41509433962264364,-0.6962025316455689,0.9719000000000001,-0.8464566929133843,-1.7432950191570873,-2.3408239700374533,1.7032930884900672,0.38516480713450374
54,0.25,-1.025,2.0575,1.59,-0.11700000000000088,0.6,1.02,-0.953036096233228,1.088888888888889,2,0.14956652068246604,-1,-2.676767676767677,1.797979797979798,0.563909774436091,0.707070707070705,1.3622,-4.683794466403164,2.8076923076923066,-3.843283582089554,1.852299546352718,0.7445626465380286
55,-3.45,-4.05,4.865,3.16,-1.7859999999999996,-1.2,7.205,1.0448067438677942,4.56,0,-5,-2,-3.9473684210526314,1.7894736842105274,-7.799999999999998,-1.619718309859155,-0.4526,-18.865979381443296,0.6499999999999995,5.865384615384617,-4.704369859012999,-1
